PDB ID	Name	EC Number	UniProtKB ID
1cwy	4-alpha-glucanotransferase	2.4.1.25	O87172
1cz0	DNA (5'- D(*TP*TP*GP*AP*CP*TP*CP*TP*CP*TP*TP*AP*AP*GP*AP*GP*AP*GP*T *CP*A)-3')	3.1.-.-	Q94702
1cz1	glucan 1,3-beta-glucosidase	3.2.1.58	P29717
1czf	polygalacturonase	3.2.1.15	P26214
1d0s	nicotinate-nucleotide---dimethylbenzimidazole phosphoribosyltransferase	2.4.2.21	Q05603
1d1q	acid phosphatase	3.1.3.2	P40347
1d2r	tryptophan---tRNA ligase	6.1.1.2	P00953
1d3g	dihydroorotate dehydrogenase (quinone)	1.3.5.2	Q02127
1d4a	NAD(P)H dehydrogenase (quinone)	1.6.5.2	P15559
1d4c	succinate dehydrogenase	1.3.99.1	P83223
1d5r	phosphoprotein phosphatase	3.1.3.16	P60484
1d6i	naringenin-chalcone synthase	2.3.1.74	P30074
1d6m	DNA topoisomerase	5.99.1.2	P14294
1d6o	peptidylprolyl isomerase	5.2.1.8	P62942
1d7r	2,2-dialkylglycine decarboxylase (pyruvate)	4.1.1.64	P16932
1d8c	malate synthase	2.3.3.9	P37330
1d8d	protein farnesyltransferase	2.5.1.58	Q04631
1d8d	protein farnesyltransferase	2.5.1.58	Q02293
1d8d	protein farnesyltransferase	2.5.1.58	P01116
1d8h	polynucleotide 5'-phosphatase	3.1.3.33	O13297
1d8t	ELONGATION FACTOR TU	-.-.-.-	P0CE47
1d8t	ELONGATION FACTOR TU	-.-.-.-	Q7M0J8
1daa	D-amino-acid transaminase	2.6.1.21	P19938
1dak	dethiobiotin synthase	6.3.3.3	P13000
1db3	GDP-mannose 4,6-dehydratase	4.2.1.47	P0AC88
1dbf	chorismate mutase	5.4.99.5	P19080
1dbt	orotidine-5'-phosphate decarboxylase	4.1.1.23	P25971
1dci	delta(3,5)-delta(2,4)-dienoyl-CoA isomerase	5.3.3.-	Q62651
1dco	4a-hydroxytetrahydrobiopterin dehydratase	4.2.1.96	P61459
1dd8	beta-ketoacyl-acyl-carrier-protein synthase I	2.3.1.41	P0A953
1ddj	plasmin	3.4.21.7	P00747
1de3	rRNA endonuclease	3.1.27.10	P00655
1de6	L-rhamnose isomerase	5.3.1.14	P32170
1dek	(deoxy)nucleoside-phosphate kinase	2.7.4.13	P04531
1dfo	glycine hydroxymethyltransferase	2.1.2.1	P0A825
1dgk	hexokinase	2.7.1.1	P19367
1dgs	DNA ligase (NAD+)	6.5.1.2	Q9ZHI0
1dhf	dihydrofolate reductase	1.5.1.3	P00374
1dhp	dihydrodipicolinate synthase	4.2.1.52	P0A6L2
1dhr	6,7-dihydropteridine reductase	1.5.1.34	P11348
1di1	aristolochene synthase	4.2.3.9	Q03471
1dii	4-methylphenol dehydrogenase (hydroxylating)	1.17.99.1	P09788
1dii	4-methylphenol dehydrogenase (hydroxylating)	1.17.99.1	P09787
1din	carboxymethylenebutenolidase	3.1.1.45	P0A115
1diz	DNA-3-methyladenine glycosylase II	3.2.2.21	P04395
1dj0	tRNA pseudouridine38-40 synthase	5.4.99.12	P07649
1dj1	cytochrome-c peroxidase	1.11.1.5	P00431
1djl	NAD(P)+ transhydrogenase (AB-specific)	1.6.1.2	Q13423
1djo	glutamin-(asparagin-)ase	3.5.1.38	P10182
1dki	streptopain	3.4.22.10	P0C0J0
1dl2	mannosyl-oligosaccharide 1,2-alpha-mannosidase	3.2.1.113	P32906
1dl5	protein-L-isoaspartate(D-aspartate) O-methyltransferase	2.1.1.77	Q56308
1dli	UDP-glucose 6-dehydrogenase	1.1.1.22	P0C0F4
1dmu	type II site-specific deoxyribonuclease	3.1.21.4	O68557
1dnk	deoxyribonuclease I	3.1.21.1	P00639
1dnp	deoxyribodipyrimidine photo-lyase	4.1.99.3	P00914
1do6	superoxide reductase	1.15.1.2	P82385
1do8	malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1.38	P23368
1dod	4-hydroxybenzoate 3-monooxygenase	1.14.13.2	P20586
1e94	HslU---HslV peptidase	3.4.25.2	P0A7B8
1e94	HslU---HslV peptidase	3.4.25.2	P0A6H5
1dpg	glucose-6-phosphate dehydrogenase	1.1.1.49	P11411
1dqa	hydroxymethylglutaryl-CoA reductase (NADPH)	1.1.1.34	P04035
1dqr	glucose-6-phosphate isomerase	5.3.1.9	Q9N1E2
1dqs	3-dehydroquinate synthase	4.2.3.4	P07547
1ds2	streptogrisin B	3.4.21.81	P00777
1ds2	streptogrisin B	3.4.21.81	P68390
1dtw	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	1.2.4.4	P12694
1dtw	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	1.2.4.4	P21953
1dub	enoyl-CoA hydratase	4.2.1.17	P14604
1dup	dUTP diphosphatase	3.6.1.23	P06968
1dve	heme oxygenase	1.14.99.3	P06762
1dw9	cyanase	4.2.1.104	P00816
1dwo	(S)-hydroxynitrile lyase	4.1.2.47	P52705
1dxe	2-dehydro-3-deoxyglucarate aldolase	4.1.2.20	P23522
1dzr	dTDP-4-dehydrorhamnose 3,5-epimerase	5.1.3.13	P26394
1e0c	thiosulfate sulfurtransferase	2.8.1.1	P52197
1e19	carbamate kinase	2.7.2.2	P95474
1e1a	diisopropyl-fluorophosphatase	3.1.8.2	Q7SIG4
1e2a	protein-Npi-phosphohistidine---sugar phosphotransferase	2.7.1.69	P23532
1e2t	N-hydroxyarylamine O-acetyltransferase	2.3.1.118	Q00267
1e3v	steroid Delta-isomerase	5.3.3.1	P07445
1e5q	saccharopine dehydrogenase (NADP+, L-glutamate-forming)	1.5.1.10	Q9P4R4
1e6e	ferredoxin---NADP+ reductase	1.18.1.2	P08165
1e6e	ferredoxin---NADP+ reductase	1.18.1.2	P00257
1e7l	crossover junction endodeoxyribonuclease	3.1.22.4	P13340
1e7q	GDP-L-fucose synthase	1.1.1.271	P32055
1eag	candidapepsin	3.4.23.24	Q8NKF1
1eb6	deuterolysin	3.4.24.39	P46076
1ebf	homoserine dehydrogenase	1.1.1.3	P31116
1ec9	glucarate dehydratase	4.2.1.40	P0AES2
1ecf	amidophosphoribosyltransferase	2.4.2.14	P0AG16
1ecl	DNA topoisomerase	5.99.1.2	P06612
1ecm	prephenate dehydratase	4.2.1.51	P0A9J8
1eed	endothiapepsin	3.4.23.22	P11838
1eej	protein disulfide-isomerase	5.3.4.1	P0AEG6
1ef0	H+-transporting two-sector ATPase	3.6.3.14	P17255
1ef8	methylmalonyl-CoA decarboxylase	4.1.1.41	P52045
1eg7	formate---tetrahydrofolate ligase	6.3.4.3	P21164
1eh5	palmitoyl[protein] hydrolase	3.1.2.22	P45478
1eh6	methylated-DNA---[protein]-cysteine S-methyltransferase	2.1.1.63	P16455
1ehk	cytochrome-c oxidase	1.9.3.1	Q5SJ79
1ehk	cytochrome-c oxidase	1.9.3.1	Q5SJ80
1ehk	cytochrome-c oxidase	1.9.3.1	P82543
1ei5	D-stereospecific aminopeptidase	3.4.11.19	Q9ZBA9
1eix	orotidine-5'-phosphate decarboxylase	4.1.1.23	P08244
1els	phosphopyruvate hydratase	4.2.1.11	P00924
1emd	malate dehydrogenase	1.1.1.37	P61889
1eq2	ADP-glyceromanno-heptose 6-epimerase	5.1.3.20	P67910
1esc	ESTERASE	3.1.1.-	P22266
1eso	superoxide dismutase	1.15.1.1	P0AGD1
1et0	aminodeoxychorismate lyase	4.1.3.38	P28305
1eu1	DIMETHYL SULFOXIDE REDUCTASE	1.8.99.-	Q57366
1eug	uracil-DNA glycosylase	3.2.2.27	P12295
1su4	Ca2+-transporting ATPase	3.6.3.8	P04191
1euu	exo-alpha-sialidase	3.2.1.18	Q02834
1euy	glutamine---tRNA ligase	6.1.1.18	P00962
1evy	glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8	P90551
1exn	exodeoxyribonuclease (lambda-induced)	3.1.11.3	P06229
1exp	endo-1,4-beta-xylanase	3.2.1.8	P07986
1ey2	homogentisate 1,2-dioxygenase	1.13.11.5	Q93099
1eyi	fructose-bisphosphatase	3.1.3.11	P00636
1eyp	chalcone isomerase	5.5.1.6	P28012
1ez1	PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE 2	2.1.2.-	P33221
1ez2	aryldialkylphosphatase	3.1.8.1	P0A434
1f2d	1-aminocyclopropane-1-carboxylate deaminase	3.5.99.7	Q7M523
1f2v	precorrin-8X methylmutase	5.4.1.2	P21638
1f48	arsenite-transporting ATPase	3.6.3.16	P08690
1f6d	UDP-N-acetylglucosamine 2-epimerase	5.1.3.14	P27828
1f75	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	2.5.1.31	O82827
1f7l	holo-[acyl-carrier-protein] synthase	2.7.8.7	P96618
1f7u	arginine---tRNA ligase	6.1.1.19	Q05506
1f80	holo-[acyl-carrier-protein] synthase	2.7.8.7	P96618
1f80	holo-[acyl-carrier-protein] synthase	2.7.8.7	P80643
1f8m	isocitrate lyase	4.1.3.1	P0A5H3
1f8r	L-amino-acid oxidase	1.4.3.2	P81382
1f8x	nucleoside deoxyribosyltransferase	2.4.2.6	Q9R5V5
1fa0	polynucleotide adenylyltransferase	2.7.7.19	P29468
1fc4	glycine C-acetyltransferase	2.3.1.29	P0AB77
1fcb	L-lactate dehydrogenase (cytochrome)	1.1.2.3	P00175
1fcq	hyaluronoglucosaminidase	3.2.1.35	Q08169
1fdy	N-acetylneuraminate lyase	4.1.3.3	P0A6L4
1ff3	peptide-methionine (S)-S-oxide reductase	1.8.4.11	P0A744
1fft	UBIQUINOL OXIDASE	1.10.3.-	P0ABI8
1fft	UBIQUINOL OXIDASE	1.10.3.-	P0ABJ1
1fft	UBIQUINOL OXIDASE	1.10.3.-	P0ABJ3
1fgh	aconitate hydratase	4.2.1.3	P20004
1fgj	hydroxylamine oxidase	1.7.3.4	Q50925
1fhl	arabinogalactan endo-1,4-beta-galactosidase	3.2.1.89	P48842
1fiq	xanthine dehydrogenase	1.17.1.4	P80457
1fnb	ferredoxin---NADP+ reductase	1.18.1.2	P00455
1fo6	N-carbamoyl-D-amino-acid hydrolase	3.5.1.77	Q44185
1foa	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	2.4.1.101	P27115
1fob	arabinogalactan endo-1,4-beta-galactosidase	3.2.1.89	P48842
1foh	phenol 2-monooxygenase	1.14.13.7	P15245
1fps	dimethylallyltranstransferase	2.5.1.1	P08836
1fq0	2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2.14	P0A955
1fr2	deoxyribonuclease I	3.1.21.1	P13479
1fr2	deoxyribonuclease I	3.1.21.1	P09883
1fr8	lactose synthase	2.4.1.22	P08037
1fro	lactoylglutathione lyase	4.4.1.5	Q04760
1fua	L-fuculose-phosphate aldolase	4.1.2.17	P0AB87
1fug	methionine adenosyltransferase	2.5.1.6	P0A817
1fui	L-fucose isomerase	5.3.1.25	P69922
1fuq	fumarate hydratase	4.2.1.2	P05042
1fva	peptide-methionine (S)-S-oxide reductase	1.8.4.11	P54149
1fwk	homoserine kinase	2.7.1.39	Q58504
1fy2	dipeptidase E	3.4.13.21	P36936
1g0d	protein-glutamine gamma-glutamyltransferase	2.3.2.13	P52181
1g24	EXOENZYME C3	2.4.2.-	P15879
1g4p	thiamine-phosphate diphosphorylase	2.5.1.3	P39594
1g64	cob(I)yrinic acid a,c-diamide adenosyltransferase	2.5.1.17	P31570
1g6t	3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19	P0A6D3
1g72	methanol dehydrogenase (cytochrome c)	1.1.2.7	P38539
1g72	methanol dehydrogenase (cytochrome c)	1.1.2.7	P38540
1g79	pyridoxal 5'-phosphate synthase	1.4.3.5	P0AFI7
1g8f	sulfate adenylyltransferase	2.7.7.4	P08536
1g8o	N-acetyllactosaminide 3-alpha-galactosyltransferase	2.4.1.87	P14769
1g8p	magnesium chelatase	6.6.1.1	P26239
1g99	acetate kinase	2.7.2.1	P38502
1gal	glucose oxidase	1.1.3.4	P13006
1gcb	bleomycin hydrolase	3.4.22.40	Q01532
1gcu	biliverdin reductase	1.3.1.24	P46844
1gdh	glycerate dehydrogenase	1.1.1.29	P36234
1xff	glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	P17169
1ge7	peptidyl-Lys metalloendopeptidase	3.4.24.20	P81054
1geq	tryptophan synthase	4.2.1.20	Q8U094
1get	glutathione-disulfide reductase	1.8.1.7	P06715
1ghs	glucan endo-1,3-beta-D-glucosidase	3.2.1.39	P15737
1gim	adenylosuccinate synthase	6.3.4.4	P0A7D4
1glo	cathepsin S	3.4.22.27	P25774
1gns	subtilisin	3.4.21.62	P00782
1gog	galactose oxidase	1.1.3.9	Q01745
1goj	plus-end-directed kinesin ATPase	3.6.4.4	P48467
1gox	(S)-2-hydroxy-acid oxidase	1.1.3.15	P05414
1gp1	glutathione peroxidase	1.11.1.9	P00435
1gp5	leucocyanidin oxygenase	1.14.11.19	Q96323
1gpa	phosphorylase	2.4.1.1	P00489
1gpj	glutamyl-tRNA reductase	1.2.1.70	Q9UXR8
1gpm	GMP synthase (glutamine-hydrolysing)	6.3.5.2	P04079
1gq8	pectinesterase	3.1.1.11	P83218
1gqg	quercetin 2,3-dioxygenase	1.13.11.24	Q7SIC2
1grc	phosphoribosylglycinamide formyltransferase	2.1.2.2	P08179
1gsa	glutathione synthase	6.3.2.3	P04425
1gt7	rhamnulose-1-phosphate aldolase	4.1.2.19	P32169
1gtp	GTP cyclohydrolase I	3.5.4.16	P0A6T5
1ohv	4-aminobutyrate transaminase	2.6.1.19	P80147
1guf	enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)	1.3.1.10	Q8WZM3
1gxs	hydroxymandelonitrile lyase	4.1.2.11	P52708
1gz6		1.1.1	P97852
1h19	leukotriene-A4 hydrolase	3.3.2.6	P09960
1h2r	cytochrome-c3 hydrogenase	1.12.2.1	P21852
1h2r	cytochrome-c3 hydrogenase	1.12.2.1	P21853
1h3i	histone-lysine N-methyltransferase	2.1.1.43	Q8WTS6
1h7o	porphobilinogen synthase	4.2.1.24	P05373
1h7x	dihydropyrimidine dehydrogenase (NADP+)	1.3.1.2	Q28943
1hdh	arylsulfatase	3.1.6.1	P51691
1hfe	ferredoxin hydrogenase	1.12.7.2	P07598
1hfe	ferredoxin hydrogenase	1.12.7.2	P07603
1hfs	stromelysin 1	3.4.24.17	P08254
1hiv	HIV-1 retropepsin	3.4.23.16	P04585
1hja	chymotrypsin	3.4.21.1	P00767
1hja	chymotrypsin	3.4.21.1	P00766
1hja	chymotrypsin	3.4.21.1	P68390
1hka	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2.7.6.3	P26281
1hpl	triacylglycerol lipase	3.1.1.3	P29183
1hpm	adenosinetriphosphatase	3.6.1.3	P19120
1hqc	DNA helicase	3.6.4.12	Q5SL87
1hr6	mitochondrial processing peptidase	3.4.24.64	P11914
1hr6	mitochondrial processing peptidase	3.4.24.64	P10507
1hr7	mitochondrial processing peptidase	3.4.24.64	P11914
1hr7	mitochondrial processing peptidase	3.4.24.64	P10507
1hrd	glutamate dehydrogenase	1.4.1.2	P24295
